区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,华普花园 ,200.13平米,东,1250,62460,,简装,低楼层(共22层),2001年建,华普花园,,-
东城,和平里一区 ,40.31平米,,490,121558,,其他,中楼层(共5层),1983年建,和平里一区,,-
东城,国瑞城西区 ,61.98平米,,640,103260,,精装,中楼层(共16层),2009年建,国瑞城西区,,-
东城,新奥洋房 ,176.17平米,南 ,1450,82307,房本满五年,精装,顶层(共11层),2006年建,新奥洋房,,-
东城,永定门东街西里 ,67.87平米,北 ,530,78091,房本满五年,简装,低楼层(共6层),1974年建,永定门东街西里,,-
东城,民旺园 ,63.67平米,,640,100519,房本满五年,简装,中楼层(共16层),1993年建,民旺园,,-
东城,西革新里112号院 ,116.23平米,东,746,64184,房本满五年,简装,中楼层(共19层),2001年建,西革新里112号院,,-
东城,东四二条 ,41.48平米,,550,132595,房本满五年,精装,顶层(共6层),1986年建,东四二条,,-
东城,灵光胡同 ,55.77平米,东,560,100413,房本满五年,精装,顶层(共6层),1980年建,灵光胡同,,-
东城,景泰东里 ,51.28平米,,370,72153,房本满五年,简装,中楼层(共6层),1994年建,景泰东里,,-
东城,安德路47号院 ,60.25平米,,600,99586,房本满五年,毛坯,中楼层(共6层),1990年建,安德路47号院,,-
东城,仓夹道 ,72.85平米,西,840,115306,房本满五年,简装,低楼层(共23层),2003年建,仓夹道,,-
东城,柏林寺西 ,44.77平米,,488,109002,房本满五年,简装,顶层(共16层),1992年建,柏林寺西,,-
东城,朝阳门南小街 ,63.91平米,,638,99828,房本满五年,精装,15层,2004年建,朝阳门南小街,,-
东城,东四十条 ,73.09平米,东 ,860,117664,房本满五年,简装,中楼层(共6层),2000年建,东四十条,,-
东城,东四西大街40号院 ,63.93平米,南 ,780,122009,房本满五年,精装,中楼层(共5层),1988年建,东四西大街40号院,,-
东城,炮局头条 ,57.55平米,南 ,595,103389,房本满五年,简装,高楼层(共6层),1991年建,炮局头条,,-
东城,建国门南大街 ,68.87平米,西,600,87121,房本满五年,简装,中楼层(共14层),1986年建,建国门南大街,,-
东城,东皇城根南街 ,58.3平米,南 ,667,114409,房本满五年,精装,中楼层(共6层),1987年建,东皇城根南街,,-
东城,朝阳门南小街 ,54.61平米,,670,122689,房本满五年,精装,中楼层(共14层),2004年建,朝阳门南小街,,-
东城,新怡家园 ,100.86平米,,1320,130875,,精装,高楼层(共13层),2006年建,新怡家园,,-
东城,桃杨路北里12号院 ,58.98平米,南 ,430,72907,,精装,中楼层(共6层),1999年建,桃杨路北里12号院,,-
东城,新世界中心 ,56.05平米,,358,63872,,简装,中楼层(共16层),1995年建,新世界中心,,-
东城,朝阳门南小街 ,81.76平米,东,890,108856,,简装,中楼层(共14层),2004年建,朝阳门南小街,,-
东城,朝阳门内大街 ,72.03平米,东 ,640,88852,,简装,底层(共7层),1999年建,朝阳门内大街,,-
东城,西总布胡同 ,32.74平米,,450,137447,,其他,中楼层(共6层),1997年建,西总布胡同,,-
东城,新景家园西区 ,88.9平米,,906,101913,,精装,顶层(共14层),2004年建,新景家园西区,,-
东城,新景家园东区 ,56.16平米,,700,124644,,精装,中楼层(共13层),2005年建,新景家园东区,,-
东城,城市亮点 ,45.39平米,,415,91430,,简装,高楼层(共12层),2003年建,城市亮点,,-
东城,雅安国际公寓 ,107.04平米,西北 东,909,84922,,简装,低楼层(共19层),2005年建,雅安国际公寓,,-
东城,豆瓣胡同 ,71.37平米,南 ,870,121900,,其他,低楼层(共21层),2003年建,豆瓣胡同,,-
东城,国瑞城西区 ,66.73平米,,560,83921,,精装,中楼层(共16层),2009年建,国瑞城西区,,-
东城,雅安国际公寓 ,73.28平米,西,720,98254,,简装,高楼层(共19层),2005年建,雅安国际公寓,,-
东城,东中街 ,70.2平米,南 ,718,102280,房本满五年,简装,顶层(共6层),1998年建,东中街,,-
东城,景泰嘉园 ,104平米,,760,73077,房本满五年,精装,中楼层(共12层),2002年建,景泰嘉园,,-
东城,本家润园三期 ,47.8平米,,490,102511,房本满五年,简装,低楼层(共18层),2005年建,本家润园三期,,-
东城,绿景馨园 ,52.22平米,,530,101494,房本满五年,精装,高楼层(共6层),2004年建,绿景馨园,,-
东城,营房西街 ,46.85平米,,410,87514,房本满五年,简装,顶层(共6层),1990年建,营房西街,,-
东城,阳光都市 ,82.1平米,,820,99879,房本满五年,精装,高楼层(共25层),2001年建,阳光都市,,-
东城,六铺炕 ,60.43平米,,530,87705,房本满五年,简装,中楼层(共10层),1987年建,六铺炕,,-
东城,安定路 ,49.74平米,西,490,98513,房本满五年,精装,高楼层(共18层),1996年建,安定路,,-
东城,和平里三区 ,40.57平米,东,498,122751,房本满五年,简装,低楼层(共6层),1996年建,和平里三区,,-
东城,建国门北大街5号 ,219.6平米,,1177,53598,房本满五年,简装,低楼层(共24层),2008年建,建国门北大街5号,,-
东城,工体北路 ,75.28平米,东,790,104942,房本满五年,精装,低楼层(共16层),1988年建,工体北路,,-
东城,冠城名敦道 ,79.39平米,,473,59580,房本满五年,简装,23层,2010年建,冠城名敦道,,-
东城,雅安国际公寓 ,107.04平米,西,930,86884,房本满五年,精装,低楼层(共19层),2005年建,雅安国际公寓,,-
东城,和平里东街9号院 ,79.88平米,东,845,105784,房本满五年,简装,高楼层(共16层),2000年建,和平里东街9号院,,-
东城,长安太和 ,105.21平米,,1190,113108,房本满五年,精装,中楼层(共24层),2012年建,长安太和,,-
东城,青年湖东里 ,53.96平米,西,525,97295,房本满五年,精装,高楼层(共6层),1992年建,青年湖东里,,-
东城,国瑞城中区 ,81.47平米,东,808,99178,房本满五年,简装,中楼层(共16层),2006年建,国瑞城中区,,-
东城,东方银座 ,83.34平米,,685,82194,房本满五年,简装,中楼层(共26层),2003年建,东方银座,,-
东城,兴化西里 ,56.24平米,南 ,520,92461,房本满五年,简装,顶层(共5层),1976年建,兴化西里,,-
东城,兴化西里 ,71.68平米,南 ,515,71848,房本满五年,精装,地下室(共4层),1976年建,兴化西里,,-
东城,雍和家园一期 ,113.42平米,西,1320,116382,房本满五年,精装,高楼层(共16层),2001年建,雍和家园一期,,-
东城,小黄庄一区 ,51.27平米,,560,109226,,简装,高楼层(共12层),1993年建,小黄庄一区,,-
东城,新景家园西区 ,118.24平米,东 ,1240,104872,,简装,低楼层(共12层),2001年建,新景家园西区,,-
东城,花市枣苑二期 ,55.04平米,西,572,103925,,精装,低楼层(共19层),2004年建,花市枣苑二期,,-
东城,东花市北里中区 ,78.98平米,,650,82300,,精装,顶层(共6层),1994年建,东花市北里中区,,-
东城,柏林寺西 ,60.68平米,南 ,655,107944,,简装,顶层(共6层),1994年建,柏林寺西,,-
东城,国瑞城中区 ,66.1平米,,590,89259,,精装,低楼层(共16层),2006年建,国瑞城中区,,-
东城,冠城名敦道 ,107.02平米,,715,66810,,精装,高楼层(共23层),2009年建,冠城名敦道,,-
东城,大方家胡同 ,85.86平米,,949,110529,,简装,低楼层(共9层),2003年建,大方家胡同,,-
